"","gene","fitness","variance","d6toinput","normd7toinputA","normd6toinputA","norminput","normd6toinputB","normd6toinputC","normd6toinputD","day4abs","day5absmax","day6abs","lower","upper","input","file","experiment"
"35","PBANKA_080220",0.457401824224338,0.00956831070971579,0.026042990353797,0.002322779215103,0.00512659136688902,8.79929577464789,0.0098760051273371,0.00805265573615371,0.0129874466533265,0.0040280122344604,0.00116364001665931,0.000652737337215627,0.344451624521308,0.570352023927368,0.0223270524538315,"./countfiles//inv1.csv","inv1"
"36","PBANKA_090590",0.630420099492891,0.00306861458670578,0.253771652934958,0.0351425220133908,0.0499552296961101,7.81338028169014,0.0962351139984601,0.0784677845715192,0.126554046207628,0.0174682498561424,0.0084784398287891,0.00350259708401327,0.566455373935693,0.694384825050089,0.0198254219267916,"./countfiles//inv1.csv","inv1"
"37","PBANKA_133890",0.314912140559944,0.0363279717331196,0.00351604868828968,0.000630685039257296,0.000692138061185406,9.3169014084507,0.00133335359733192,0.00108718427698621,0.00175342747316277,0.000768832210726881,NA,0.000125854584626543,0.0948273940549679,0.53499688706492,0.0236404084805275,"./countfiles//inv1.csv","inv1"
"38","PBANKA_090380",0.42969445772631,0.0447457939766982,0.0115949935814644,0.00374574778870805,0.00228248727148196,7.15985915492958,0.00439704559677371,0.00358524463995862,0.00578233753263961,0.00584025958831662,0.00145245714309633,0.00060794163760279,0.185438324465347,0.673950590987274,0.0181671982631537,"./countfiles//inv1.csv","inv1"
"39","PBANKA_122740",0.213552616029147,0.0149588810649696,0.014858305582237,0.00116578525991034,0.00292487383705495,6.7830985915493,0.00563455655899055,0.00459428115016298,0.00740972708919318,0.00181941038687541,0.000326260044380009,0.000441557610469395,0.072325229332045,0.354780002726249,0.0172112180260348,"./countfiles//inv1.csv","inv1"
"40","PBANKA_103540",0.0745260754539752,0.0076706382225099,NA,4.4144869583499e-05,NA,9.06338028169014,NA,NA,NA,0.000673325103804287,NA,4.69288281658294e-05,-0.0266051147398181,0.175657265647769,0.0229971320592886,"./countfiles//inv1.csv","inv1"
"41","PBANKA_100240",0.79229205627504,0.0039505834047658,0.809539345895629,0.142256117836432,0.159358712860731,7.95070422535211,0.30699296133943,0.250314636253671,0.403711283756451,0.0231055568422485,0.0221003368472909,0.014311159462025,0.719714893615648,0.864869218934431,0.0201738633216293,"./countfiles//inv1.csv","inv1"
"42","PBANKA_010290",0.0965747583453855,0.00539138357839956,0.0105497641711063,0.000306953428919901,0.0020767327095532,7.70211267605634,0.0040006744091449,0.00326205315954211,0.00526108935709995,0.00116518670445565,0.000388392935956359,3.41300568478759e-05,0.0117896686310608,0.18135984805971,0.0195430950530256,"./countfiles//inv1.csv","inv1"
"43","PBANKA_072050",0.122898999116653,0.0201951640278225,NA,0.00117156125194099,NA,7.23450704225352,NA,NA,NA,0.00167137437114539,NA,0.000264507940571039,-0.0411951365812137,0.28699313481452,0.0183566074316295,"./countfiles//inv1.csv","inv1"
"44","PBANKA_083560",0.0491454340641021,0.0128948646259162,0.000732239594609594,0.000350532341790275,0.000144142171587164,6.17957746478873,0.000277679402117861,0.00022641306899352,0.000365162469564827,NA,NA,8.53251421196898e-06,-0.0819772292498914,0.180268097378096,0.0156798627676968,"./countfiles//inv1.csv","inv1"
